Satzart;AGS;KREIS;BEV;CHRIST;RKAT;EVANG;SONST;KEINE;OANGABE;;PRKAT;PEVANG;;RKATEVANG
40;9775;Neu-Ulm;163.020;126.300;83.720;34.280;12.130;7.540;17.050;;51,4;21,0;;72,4
40;9776;Lindau (Bodensee);77.780;61.060;44.000;13.760;3.440;3.430;9.850;;56,6;17,7;;74,3
40;9777;Ostallgäu;133.150;113.400;94.340;15.630;4.620;4.370;10.760;;70,9;11,7;;82,6
40;9778;Unterallgäu;134.460;117.010;94.940;18.230;4.560;5.030;7.850;;70,6;13,6;;84,2
40;9779;Donau-Ries;126.440;113.620;77.300;34.100;4.270;2.900;5.650;;61,1;27,0;;88,1
40;9780;Oberallgäu;148.110;121.730;96.680;20.530;6.440;5.510;14.430;;65,3;13,9;;79,1
10;10;Gesamt;993.500;851.540;629.760;198.960;39.440;31.550;70.960;;;;;
40;10041;Regionalverband Saarbrücken;325.550;262.120;170.570;81.830;19.200;14.610;29.630;;52,4;25,1;;77,5
40;10042;Merzig-Wadern;102.660;93.250;83.630;7.520;2.110;2.540;4.760;;81,5;7,3;;88,8
40;10043;Neunkirchen;134.410;117.730;81.350;33.300;3.970;3.760;8.950;;60,5;24,8;;85,3
40;10044;Saarlouis;196.170;172.600;151.790;17.850;7.690;3.880;12.000;;77,4;9,1;;86,5
40;10045;Saarpfalz-Kreis;144.900;123.340;79.530;40.410;5.290;5.010;11.260;;54,9;27,9;;82,8
40;10046;St. Wendel;89.800;82.490;62.880;18.060;1.180;1.760;4.370;;70,0;20,1;;90,1
10;11;Gesamt;3.269.260;1.224.870;314.710;705.510;294.610;763.530;986.250;;;;;
40;11000;Berlin, Stadt;3.269.260;1.224.870;314.710;705.510;294.610;763.530;986.250;;9,6;21,6;;31,2
10;12;Gesamt;2.439.110;614.350;86.350;449.110;34.750;796.690;993.320;;;;;
40;12051;Brandenburg an der Havel, Stadt;70.560;13.850;2.520;8.830;1.060;24.110;31.550;;3,6;12,5;;16,1
